Year,Suez_Canal,Pirate_attacks_1,Aden_per_attack,Malacca_Strait,Pirate_attacks_2,Southeast_asia_per_attack,Port_of_Lagos,Pirate_attacks_3,Guinea_per_attack
2000,14142,23,615,55957,255,219,4087,19,215
2001,13986,20,699,59314,160,371,4473,40,112
2002,13447,22,611,60034,163,368,4143,30,138
2003,15667,20,783,62334,183,341,4315,48,90
2004,16850,11,1532,63636,154,413,4553,39,117
2005,18224,44,414,62621,120,522,4586,25,183
2006,18664,19,982,65649,85,772,4800,16,300
2007,20384,43,474,70718,77,918,4644,41,113
2008,21415,105,204,76381,66,1157,4477,53,84
2009,17228,159,108,71359,66,1081,4620,39,118
2010,17993,97,185,74133,113,656,4962,28,177
2011,17799,106,168,73538,99,743,5232,39,134
2012,17224,39,442,75477,109,692,5085,48,106
2013,16596,13,1277,77973,141,553,5190,41,127
2014,17148,10,1715,79344,147,540,4920,28,176
2015,17483,1,17483,80960,176,460,4525,20,226
2016,16833,3,5611,83740,76,1102,4254,41,104
2017,17550,14,1254,84456,77,1097,3897,39,100
2018,18174,3,6058,85202,65,1311,3878,71,55
2019,18880,1,18880,83724,54,1550,3259,49,67
2020,18830,1,18830,81380,64,1272,4054,55,74
