Year,Suez_Canal,Pirate_attacks_1,Malacca_Strait,Pirate_attacks_2,Port_of_Lagos,Pirate_attacks_3,Aden_per_attack,Southeast_asia_per_attack,Guinea_per_attack
2000,14142,23,55957,255,4087,19,615,219,215
2001,13986,20,59314,160,4473,40,699,371,112
2002,13447,22,60034,163,4143,30,611,368,138
2003,15667,20,62334,183,4315,48,783,341,90
2004,16850,11,63636,154,4553,39,1532,413,117
2005,18224,44,62621,120,4586,25,414,522,183
2006,18664,19,65649,85,4800,16,982,772,300
2007,20384,43,70718,77,4644,41,474,918,113
2008,21415,105,76381,66,4477,53,204,1157,84
2009,17228,159,71359,66,4620,39,108,1081,118
2010,17993,97,74133,113,4962,28,185,656,177
2011,17799,106,73538,99,5232,39,168,743,134
2012,17224,39,75477,109,5085,48,442,692,106
2013,16596,13,77973,141,5190,41,1277,553,127
2014,17148,10,79344,147,4920,28,1715,540,176
2015,17483,3,80960,176,4525,20,5828,460,226
2016,16833,3,83740,76,4254,41,5611,1102,104
2017,17550,14,84456,77,3897,39,1254,1097,100
2018,18174,3,85202,65,3878,71,6058,1311,55
2019,18880,3,83724,54,3259,49,6293,1550,67
2020,18830,3,81380,64,4054,55,6277,1272,74
